Source,Target,Regulation
E2F1,hsa-mir-19b-2,TF-miRNA
E2F1,hsa-mir-202,TF-miRNA
E2F1,hsa-mir-20a,TF-miRNA
E2F1,hsa-mir-20a,TF-miRNA
E2F1,hsa-mir-20b,TF-miRNA
E2F1,hsa-mir-223,TF-miRNA
E2F1,hsa-mir-224,TF-miRNA
E2F1,hsa-mir-23b,TF-miRNA
E2F1,hsa-mir-24-1,TF-miRNA
E2F1,hsa-mir-25,TF-miRNA
E2F1,hsa-mir-25,TF-miRNA
E2F1,hsa-mir-27b,TF-miRNA
E2F1,hsa-mir-27b,TF-miRNA
E2F1,hsa-mir-29a,TF-miRNA
E2F1,hsa-mir-34c,TF-miRNA
E2F1,hsa-mir-363,TF-miRNA
E2F1,hsa-mir-4496,TF-miRNA
E2F1,hsa-mir-449a,TF-miRNA
E2F1,hsa-mir-449a,TF-miRNA
E2F1,hsa-mir-449b,TF-miRNA
E2F1,hsa-mir-449b,TF-miRNA
E2F1,hsa-mir-449c,TF-miRNA
E2F1,hsa-mir-452,TF-miRNA
E2F1,hsa-mir-519d,TF-miRNA
E2F1,hsa-mir-92a-1,TF-miRNA
E2F1,hsa-mir-92a-2,TF-miRNA
E2F1,hsa-mir-93,TF-miRNA
E2F6,hsa-mir-193a,TF-miRNA
EGR1,hsa-let-7e,TF-miRNA
EGR1,hsa-mir-106a,TF-miRNA
EGR1,hsa-mir-10a,TF-miRNA
EGR1,hsa-mir-124-3,TF-miRNA
EGR1,hsa-mir-125a,TF-miRNA
EGR1,hsa-mir-125a,TF-miRNA
EGR1,hsa-mir-130b,TF-miRNA
EGR1,hsa-mir-132,TF-miRNA
EGR1,hsa-mir-142,TF-miRNA
EGR1,hsa-mir-146b,TF-miRNA
EGR1,hsa-mir-148a,TF-miRNA
EGR1,hsa-mir-148a,TF-miRNA
EGR1,hsa-mir-149,TF-miRNA
EGR1,hsa-mir-152,TF-miRNA
EGR1,hsa-mir-152,TF-miRNA
EGR1,hsa-mir-181c,TF-miRNA
EGR1,hsa-mir-181d,TF-miRNA
EGR1,hsa-mir-183,TF-miRNA
EGR1,hsa-mir-185,TF-miRNA
EGR1,hsa-mir-191,TF-miRNA
EGR1,hsa-mir-199a-2,TF-miRNA
EGR1,hsa-mir-200b,TF-miRNA
EGR1,hsa-mir-20b,TF-miRNA
EGR1,hsa-mir-212,TF-miRNA
EGR1,hsa-mir-214,TF-miRNA
EGR1,hsa-mir-219a-2,TF-miRNA
EGR1,hsa-mir-23a,TF-miRNA
EGR1,hsa-mir-24-2,TF-miRNA
EGR1,hsa-mir-27a,TF-miRNA
EGR1,hsa-mir-301b,TF-miRNA
EGR1,hsa-mir-30a,TF-miRNA
EGR1,hsa-mir-30c-1,TF-miRNA
EGR1,hsa-mir-30c-2,TF-miRNA
EGR1,hsa-mir-30e,TF-miRNA
EGR1,hsa-mir-32,TF-miRNA
EGR1,hsa-mir-335,TF-miRNA
EGR1,hsa-mir-425,TF-miRNA
EGR1,hsa-mir-455,TF-miRNA
EGR1,hsa-mir-596,TF-miRNA
EGR1,hsa-mir-642a,TF-miRNA
EGR1,hsa-mir-675,TF-miRNA
EGR1,hsa-mir-92b,TF-miRNA
EGR1,hsa-mir-96,TF-miRNA
EGR1,hsa-mir-99b,TF-miRNA
ELK1,hsa-mir-144,TF-miRNA
ELK1,hsa-mir-17,TF-miRNA
ELK1,hsa-mir-18a,TF-miRNA
ELK1,hsa-mir-19a,TF-miRNA
ELK1,hsa-mir-19b-1,TF-miRNA
ELK1,hsa-mir-200b,TF-miRNA
ELK1,hsa-mir-20a,TF-miRNA
ELK1,hsa-mir-210,TF-miRNA
ELK1,hsa-mir-31,TF-miRNA
ELK1,hsa-mir-34a,TF-miRNA
ELK1,hsa-mir-92a-1,TF-miRNA
ESR1,hsa-let-7c,TF-miRNA
ESR1,hsa-mir-106a,TF-miRNA
ESR1,hsa-mir-140,TF-miRNA
ESR1,hsa-mir-143,TF-miRNA
ESR1,hsa-mir-145,TF-miRNA
ESR1,hsa-mir-17,TF-miRNA
ESR1,hsa-mir-181a-1,TF-miRNA
ESR1,hsa-mir-181b-1,TF-miRNA
ESR1,hsa-mir-18a,TF-miRNA
ESR1,hsa-mir-18b,TF-miRNA
ESR1,hsa-mir-191,TF-miRNA
ESR1,hsa-mir-19a,TF-miRNA
ESR1,hsa-mir-19b-2,TF-miRNA
ESR1,hsa-mir-20a,TF-miRNA
ESR1,hsa-mir-20b,TF-miRNA
ESR1,hsa-mir-21,TF-miRNA
ESR1,hsa-mir-21,TF-miRNA
ESR1,hsa-mir-22,TF-miRNA
ESR1,hsa-mir-22,TF-miRNA
ESR1,hsa-mir-221,TF-miRNA
ESR1,hsa-mir-222,TF-miRNA
ESR1,hsa-mir-363,TF-miRNA
ESR1,hsa-mir-425,TF-miRNA
ESR1,hsa-mir-497,TF-miRNA
ESR1,hsa-mir-92a-2,TF-miRNA
ESR1,hsa-mir-99a,TF-miRNA
ESR2,hsa-mir-23b,TF-miRNA
ESR2,hsa-mir-24-1,TF-miRNA
ESR2,hsa-mir-27b,TF-miRNA
ESR2,hsa-mir-30a,TF-miRNA
FOS,hsa-mir-21,TF-miRNA
FOS,hsa-mir-21,TF-miRNA
FOS,hsa-mir-23a,TF-miRNA
FOS,hsa-mir-31,TF-miRNA
FOS,hsa-mir-34a,TF-miRNA
FOXF2,hsa-mir-200a,TF-miRNA
FOXF2,hsa-mir-200b,TF-miRNA
FOXF2,hsa-mir-429,TF-miRNA
FOXO3,hsa-let-7b,TF-miRNA
FOXO3,hsa-let-7c,TF-miRNA
FOXO3,hsa-mir-21,TF-miRNA
FOXO3,hsa-mir-30d,TF-miRNA
FOXO3,hsa-mir-34a,TF-miRNA
FOXO3,hsa-mir-34b,TF-miRNA
FOXO3,hsa-mir-34c,TF-miRNA
FOXO3,hsa-mir-622,TF-miRNA
GATA1,hsa-mir-138-2,TF-miRNA
GATA1,hsa-mir-144,TF-miRNA
GATA1,hsa-mir-146b,TF-miRNA
GATA1,hsa-mir-148a,TF-miRNA
GATA1,hsa-mir-196b,TF-miRNA
GATA1,hsa-mir-23a,TF-miRNA
GATA1,hsa-mir-23a,TF-miRNA
GATA1,hsa-mir-24-2,TF-miRNA
GATA1,hsa-mir-27a,TF-miRNA
GATA1,hsa-mir-361,TF-miRNA
GATA1,hsa-mir-431,TF-miRNA
GATA1,hsa-mir-889,TF-miRNA
GATA2,hsa-mir-126,TF-miRNA
GATA2,hsa-mir-148a,TF-miRNA
GATA2,hsa-mir-221,TF-miRNA
GATA2,hsa-mir-23a,TF-miRNA
GATA2,hsa-mir-24-2,TF-miRNA
GATA2,hsa-mir-27a,TF-miRNA
GATA2,hsa-mir-30e,TF-miRNA
GATA2,hsa-mir-31,TF-miRNA
GATA3,hsa-mir-125a,TF-miRNA
GATA3,hsa-mir-138-1,TF-miRNA
GATA3,hsa-mir-138-2,TF-miRNA
GATA3,hsa-mir-200a,TF-miRNA
GATA3,hsa-mir-200b,TF-miRNA
GATA3,hsa-mir-200c,TF-miRNA
HLF,hsa-mir-132,TF-miRNA
HNF4A,hsa-mir-101-2,TF-miRNA
HNF4A,hsa-mir-1193,TF-miRNA
HNF4A,hsa-mir-1197,TF-miRNA
HNF4A,hsa-mir-122,TF-miRNA
HNF4A,hsa-mir-122,TF-miRNA
HNF4A,hsa-mir-122,TF-miRNA
HNF4A,hsa-mir-124-1,TF-miRNA
HNF4A,hsa-mir-134,TF-miRNA
HNF4A,hsa-mir-150,TF-miRNA
HNF4A,hsa-mir-154,TF-miRNA
HNF4A,hsa-mir-182,TF-miRNA
HNF4A,hsa-mir-183,TF-miRNA
HNF4A,hsa-mir-192,TF-miRNA
HNF4A,hsa-mir-192,TF-miRNA
HNF4A,hsa-mir-194-2,TF-miRNA
HNF4A,hsa-mir-200a,TF-miRNA
HNF4A,hsa-mir-200b,TF-miRNA
HNF4A,hsa-mir-200c,TF-miRNA
HNF4A,hsa-mir-299,TF-miRNA
HNF4A,hsa-mir-329-1,TF-miRNA
HNF4A,hsa-mir-329-2,TF-miRNA
HNF4A,hsa-mir-34a,TF-miRNA
HNF4A,hsa-mir-369,TF-miRNA
HNF4A,hsa-mir-376a-1,TF-miRNA
HNF4A,hsa-mir-376b,TF-miRNA
HNF4A,hsa-mir-376c,TF-miRNA
HNF4A,hsa-mir-377,TF-miRNA
HNF4A,hsa-mir-379,TF-miRNA
HNF4A,hsa-mir-380,TF-miRNA
HNF4A,hsa-mir-381,TF-miRNA
HNF4A,hsa-mir-382,TF-miRNA
HNF4A,hsa-mir-409,TF-miRNA
HNF4A,hsa-mir-410,TF-miRNA
HNF4A,hsa-mir-411,TF-miRNA
HNF4A,hsa-mir-412,TF-miRNA
HNF4A,hsa-mir-485,TF-miRNA
HNF4A,hsa-mir-487a,TF-miRNA
HNF4A,hsa-mir-487b,TF-miRNA
HNF4A,hsa-mir-494,TF-miRNA
HNF4A,hsa-mir-495,TF-miRNA
HNF4A,hsa-mir-496,TF-miRNA
HNF4A,hsa-mir-539,TF-miRNA
HNF4A,hsa-mir-543,TF-miRNA
HNF4A,hsa-mir-654,TF-miRNA
HNF4A,hsa-mir-655,TF-miRNA
HNF4A,hsa-mir-656,TF-miRNA
HNF4A,hsa-mir-668,TF-miRNA
HNF4A,hsa-mir-7-2,TF-miRNA
HNF4A,hsa-mir-758,TF-miRNA
HNF4A,hsa-mir-889,TF-miRNA
HNF4A,hsa-mir-96,TF-miRNA
IRF1,hsa-mir-155,TF-miRNA
JUN,hsa-mir-106b,TF-miRNA
JUN,hsa-mir-127,TF-miRNA
JUN,hsa-mir-135b,TF-miRNA
JUN,hsa-mir-139,TF-miRNA
JUN,hsa-mir-141,TF-miRNA
JUN,hsa-mir-144,TF-miRNA
JUN,hsa-mir-146a,TF-miRNA
JUN,hsa-mir-184,TF-miRNA
JUN,hsa-mir-184,TF-miRNA
JUN,hsa-mir-18b,TF-miRNA
JUN,hsa-mir-200a,TF-miRNA
JUN,hsa-mir-200b,TF-miRNA
JUN,hsa-mir-200c,TF-miRNA
JUN,hsa-mir-21,TF-miRNA
JUN,hsa-mir-221,TF-miRNA
JUN,hsa-mir-221,TF-miRNA
JUN,hsa-mir-221,TF-miRNA
JUN,hsa-mir-222,TF-miRNA
JUN,hsa-mir-222,TF-miRNA
JUN,hsa-mir-222,TF-miRNA
JUN,hsa-mir-224,TF-miRNA
JUN,hsa-mir-23a,TF-miRNA
JUN,hsa-mir-23b,TF-miRNA
JUN,hsa-mir-25,TF-miRNA
JUN,hsa-mir-31,TF-miRNA
JUN,hsa-mir-3188,TF-miRNA
JUN,hsa-mir-429,TF-miRNA
JUN,hsa-mir-630,TF-miRNA
JUN,hsa-mir-93,TF-miRNA
JUND,hsa-mir-29b-1,TF-miRNA
KLF4,hsa-mir-1-2,TF-miRNA
KLF4,hsa-mir-134,TF-miRNA
KLF4,hsa-mir-143,TF-miRNA
KLF4,hsa-mir-145,TF-miRNA
KLF4,hsa-mir-150,TF-miRNA
KLF4,hsa-mir-15a,TF-miRNA
KLF4,hsa-mir-182,TF-miRNA
KLF4,hsa-mir-183,TF-miRNA
KLF4,hsa-mir-200a,TF-miRNA
KLF4,hsa-mir-200b,TF-miRNA
KLF4,hsa-mir-200c,TF-miRNA
KLF4,hsa-mir-206,TF-miRNA
KLF4,hsa-mir-21,TF-miRNA
KLF4,hsa-mir-31,TF-miRNA
KLF4,hsa-mir-429,TF-miRNA
KLF4,hsa-mir-96,TF-miRNA
KLF5,hsa-mir-141,TF-miRNA
KLF5,hsa-mir-200a,TF-miRNA
KLF5,hsa-mir-200b,TF-miRNA
KLF5,hsa-mir-200c,TF-miRNA
KLF5,hsa-mir-429,TF-miRNA
MAX,hsa-mir-106a,TF-miRNA
MAX,hsa-mir-106b,TF-miRNA
MAX,hsa-mir-17,TF-miRNA
MAX,hsa-mir-18a,TF-miRNA
MAX,hsa-mir-18b,TF-miRNA
MAX,hsa-mir-193a,TF-miRNA
MAX,hsa-mir-19a,TF-miRNA
MAX,hsa-mir-19b-1,TF-miRNA
MAX,hsa-mir-19b-2,TF-miRNA
MAX,hsa-mir-20a,TF-miRNA
MAX,hsa-mir-20b,TF-miRNA
MAX,hsa-mir-25,TF-miRNA
MAX,hsa-mir-363,TF-miRNA
MAX,hsa-mir-92a-1,TF-miRNA
MAX,hsa-mir-92a-2,TF-miRNA
MAX,hsa-mir-93,TF-miRNA
MEF2A,hsa-mir-1-1,TF-miRNA
MEF2A,hsa-mir-1-2,TF-miRNA
MEF2A,hsa-mir-23a,TF-miRNA
MEF2A,hsa-mir-24-2,TF-miRNA
MEF2A,hsa-mir-27a,TF-miRNA
MEF2A,hsa-mir-410,TF-miRNA
MEF2A,hsa-mir-424,TF-miRNA
MEF2A,hsa-mir-433,TF-miRNA
MEF2A,hsa-mir-503,TF-miRNA
MEF2A,hsa-mir-92b,TF-miRNA
MYB,hsa-mir-141,TF-miRNA
MYB,hsa-mir-143,TF-miRNA
MYB,hsa-mir-148a,TF-miRNA
MYB,hsa-mir-155,TF-miRNA
MYB,hsa-mir-155,TF-miRNA
MYB,hsa-mir-15a,TF-miRNA
MYB,hsa-mir-200a,TF-miRNA
MYB,hsa-mir-200b,TF-miRNA
MYB,hsa-mir-200c,TF-miRNA
MYB,hsa-mir-429,TF-miRNA
MYC,hsa-let-7a-1,TF-miRNA
MYC,hsa-let-7a-2,TF-miRNA
MYC,hsa-let-7b,TF-miRNA
MYC,hsa-let-7c,TF-miRNA
MYC,hsa-let-7d,TF-miRNA
MYC,hsa-let-7d,TF-miRNA
MYC,hsa-let-7e,TF-miRNA
MYC,hsa-let-7f-1,TF-miRNA
MYC,hsa-let-7g,TF-miRNA
MYC,hsa-let-7i,TF-miRNA
MYC,hsa-mir-100,TF-miRNA
MYC,hsa-mir-101-2,TF-miRNA
MYC,hsa-mir-106a,TF-miRNA
MYC,hsa-mir-106a,TF-miRNA
MYC,hsa-mir-106b,TF-miRNA
MYC,hsa-mir-106b,TF-miRNA
MYC,hsa-mir-122,TF-miRNA
MYC,hsa-mir-125b-1,TF-miRNA
MYC,hsa-mir-125b-1,TF-miRNA
MYC,hsa-mir-130a,TF-miRNA
MYC,hsa-mir-141,TF-miRNA
MYC,hsa-mir-141,TF-miRNA
MYC,hsa-mir-146a,TF-miRNA
MYC,hsa-mir-146a,TF-miRNA
MYC,hsa-mir-148a,TF-miRNA
MYC,hsa-mir-150,TF-miRNA
MYC,hsa-mir-15a,TF-miRNA
MYC,hsa-mir-15a,TF-miRNA
MYC,hsa-mir-16-1,TF-miRNA
MYC,hsa-mir-16-1,TF-miRNA
MYC,hsa-mir-17,TF-miRNA
MYC,hsa-mir-17,TF-miRNA
MYC,hsa-mir-17,TF-miRNA
MYC,hsa-mir-17,TF-miRNA
MYC,hsa-mir-17,TF-miRNA
MYC,hsa-mir-184,TF-miRNA
MYC,hsa-mir-18a,TF-miRNA
MYC,hsa-mir-18a,TF-miRNA
MYC,hsa-mir-18b,TF-miRNA
MYC,hsa-mir-195,TF-miRNA
MYC,hsa-mir-196a-1,TF-miRNA
MYC,hsa-mir-19a,TF-miRNA
MYC,hsa-mir-19a,TF-miRNA
MYC,hsa-mir-19a,TF-miRNA
MYC,hsa-mir-200c,TF-miRNA
MYC,hsa-mir-20a,TF-miRNA
MYC,hsa-mir-20a,TF-miRNA
MYC,hsa-mir-20a,TF-miRNA
MYC,hsa-mir-20b,TF-miRNA
MYC,hsa-mir-22,TF-miRNA
MYC,hsa-mir-22,TF-miRNA
MYC,hsa-mir-221,TF-miRNA
MYC,hsa-mir-221,TF-miRNA
MYC,hsa-mir-222,TF-miRNA
MYC,hsa-mir-23a,TF-miRNA
MYC,hsa-mir-23a,TF-miRNA
MYC,hsa-mir-23a,TF-miRNA
MYC,hsa-mir-23b,TF-miRNA
MYC,hsa-mir-23b,TF-miRNA
MYC,hsa-mir-24-2,TF-miRNA
MYC,hsa-mir-24-2,TF-miRNA
MYC,hsa-mir-25,TF-miRNA
MYC,hsa-mir-26a-1,TF-miRNA
MYC,hsa-mir-26a-1,TF-miRNA
MYC,hsa-mir-26a-2,TF-miRNA
MYC,hsa-mir-26a-2,TF-miRNA
MYC,hsa-mir-26b,TF-miRNA
MYC,hsa-mir-26b,TF-miRNA
MYC,hsa-mir-26b,TF-miRNA
MYC,hsa-mir-27a,TF-miRNA
MYC,hsa-mir-27a,TF-miRNA
MYC,hsa-mir-28,TF-miRNA
MYC,hsa-mir-29a,TF-miRNA
MYC,hsa-mir-29a,TF-miRNA
MYC,hsa-mir-29b-1,TF-miRNA
MYC,hsa-mir-29b-1,TF-miRNA
MYC,hsa-mir-29b-1,TF-miRNA
MYC,hsa-mir-29b-2,TF-miRNA
MYC,hsa-mir-29c,TF-miRNA
MYC,hsa-mir-30a,TF-miRNA
MYC,hsa-mir-30b,TF-miRNA
MYC,hsa-mir-30d,TF-miRNA
MYC,hsa-mir-32,TF-miRNA
MYC,hsa-mir-34a,TF-miRNA
MYC,hsa-mir-34a,TF-miRNA
MYC,hsa-mir-371a,TF-miRNA
MYC,hsa-mir-371b,TF-miRNA
MYC,hsa-mir-372,TF-miRNA
MYC,hsa-mir-373,TF-miRNA
MYC,hsa-mir-497,TF-miRNA
MYC,hsa-mir-548m,TF-miRNA
MYC,hsa-mir-7-1,TF-miRNA
MYC,hsa-mir-9-2,TF-miRNA
MYC,hsa-mir-93,TF-miRNA
MYC,hsa-mir-93,TF-miRNA
NFKB1,hsa-let-7a-3,TF-miRNA
NFKB1,hsa-let-7b,TF-miRNA
NFKB1,hsa-mir-100,TF-miRNA
NFKB1,hsa-mir-10b,TF-miRNA
NFKB1,hsa-mir-125b-1,TF-miRNA
NFKB1,hsa-mir-127,TF-miRNA
NFKB1,hsa-mir-1276,TF-miRNA
NFKB1,hsa-mir-1286,TF-miRNA
NFKB1,hsa-mir-130a,TF-miRNA
NFKB1,hsa-mir-130a,TF-miRNA
NFKB1,hsa-mir-136,TF-miRNA
NFKB1,hsa-mir-146a,TF-miRNA
NFKB1,hsa-mir-146a,TF-miRNA
NFKB1,hsa-mir-146a,TF-miRNA
NFKB1,hsa-mir-146a,TF-miRNA
NFKB1,hsa-mir-146a,TF-miRNA
NFKB1,hsa-mir-146b,TF-miRNA
NFKB1,hsa-mir-148a,TF-miRNA
NFKB1,hsa-mir-150,TF-miRNA
NFKB1,hsa-mir-155,TF-miRNA
NFKB1,hsa-mir-155,TF-miRNA
NFKB1,hsa-mir-155,TF-miRNA
NFKB1,hsa-mir-155,TF-miRNA
NFKB1,hsa-mir-155,TF-miRNA
NFKB1,hsa-mir-17,TF-miRNA
NFKB1,hsa-mir-1908,TF-miRNA
NFKB1,hsa-mir-1908,TF-miRNA
NFKB1,hsa-mir-199a-2,TF-miRNA
NFKB1,hsa-mir-200a,TF-miRNA
NFKB1,hsa-mir-200b,TF-miRNA
NFKB1,hsa-mir-21,TF-miRNA
NFKB1,hsa-mir-21,TF-miRNA
NFKB1,hsa-mir-21,TF-miRNA
NFKB1,hsa-mir-21,TF-miRNA
NFKB1,hsa-mir-21,TF-miRNA
NFKB1,hsa-mir-210,TF-miRNA
NFKB1,hsa-mir-210,TF-miRNA
NFKB1,hsa-mir-214,TF-miRNA
NFKB1,hsa-mir-219a-1,TF-miRNA
NFKB1,hsa-mir-224,TF-miRNA
NFKB1,hsa-mir-23b,TF-miRNA
NFKB1,hsa-mir-24-1,TF-miRNA
NFKB1,hsa-mir-2467,TF-miRNA
NFKB1,hsa-mir-27b,TF-miRNA
NFKB1,hsa-mir-2909,TF-miRNA
NFKB1,hsa-mir-29a,TF-miRNA
NFKB1,hsa-mir-29a,TF-miRNA
NFKB1,hsa-mir-29b-1,TF-miRNA
NFKB1,hsa-mir-29c,TF-miRNA
NFKB1,hsa-mir-301a,TF-miRNA
NFKB1,hsa-mir-30b,TF-miRNA
NFKB1,hsa-mir-30c-2,TF-miRNA
NFKB1,hsa-mir-3200,TF-miRNA
NFKB1,hsa-mir-340,TF-miRNA
NFKB1,hsa-mir-34a,TF-miRNA
NFKB1,hsa-mir-3620,TF-miRNA
NFKB1,hsa-mir-424,TF-miRNA
NFKB1,hsa-mir-425,TF-miRNA
NFKB1,hsa-mir-425,TF-miRNA
NFKB1,hsa-mir-429,TF-miRNA
NFKB1,hsa-mir-4454,TF-miRNA
NFKB1,hsa-mir-448,TF-miRNA
NFKB1,hsa-mir-4485,TF-miRNA
NFKB1,hsa-mir-449c,TF-miRNA
NFKB1,hsa-mir-494,TF-miRNA
NFKB1,hsa-mir-502,TF-miRNA
NFKB1,hsa-mir-503,TF-miRNA
NFKB1,hsa-mir-506,TF-miRNA
NFKB1,hsa-mir-9-1,TF-miRNA
NFYA,hsa-mir-33a,TF-miRNA
NKX2-5,hsa-mir-143,TF-miRNA
NKX2-5,hsa-mir-145,TF-miRNA
NKX2-5,hsa-mir-17,TF-miRNA
NKX2-5,hsa-mir-18a,TF-miRNA
NKX2-5,hsa-mir-19a,TF-miRNA
NKX2-5,hsa-mir-20a,TF-miRNA
PAX6,hsa-mir-135b,TF-miRNA
PBX1,hsa-mir-196b,TF-miRNA
PBX1,hsa-mir-21,TF-miRNA
POU2F2,hsa-mir-198,TF-miRNA
PPARG,hsa-mir-122,TF-miRNA
PPARG,hsa-mir-122,TF-miRNA
PPARG,hsa-mir-142,TF-miRNA
PPARG,hsa-mir-145,TF-miRNA
PPARG,hsa-mir-145,TF-miRNA
PPARG,hsa-mir-21,TF-miRNA
PPARG,hsa-mir-613,TF-miRNA
PRDM1,hsa-let-7c,TF-miRNA
PRDM1,hsa-mir-21,TF-miRNA
PRDM1,hsa-mir-222,TF-miRNA
PRDM1,hsa-mir-223,TF-miRNA
REL,hsa-mir-15b,TF-miRNA
REL,hsa-mir-21,TF-miRNA
RELA,hsa-let-7e,TF-miRNA
RELA,hsa-mir-100,TF-miRNA
RELA,hsa-mir-125a,TF-miRNA
RELA,hsa-mir-125b-1,TF-miRNA
RELA,hsa-mir-130a,TF-miRNA
RELA,hsa-mir-130a,TF-miRNA
RELA,hsa-mir-132,TF-miRNA
RELA,hsa-mir-145,TF-miRNA
RELA,hsa-mir-146a,TF-miRNA
RELA,hsa-mir-146a,TF-miRNA
RELA,hsa-mir-146a,TF-miRNA
RELA,hsa-mir-146a,TF-miRNA
RELA,hsa-mir-146b,TF-miRNA
RELA,hsa-mir-150,TF-miRNA
RELA,hsa-mir-150,TF-miRNA
RELA,hsa-mir-155,TF-miRNA
RELA,hsa-mir-155,TF-miRNA
RELA,hsa-mir-155,TF-miRNA
RELA,hsa-mir-155,TF-miRNA
RELA,hsa-mir-17,TF-miRNA
RELA,hsa-mir-182,TF-miRNA
RELA,hsa-mir-182,TF-miRNA
RELA,hsa-mir-183,TF-miRNA
RELA,hsa-mir-188,TF-miRNA
RELA,hsa-mir-18a,TF-miRNA
RELA,hsa-mir-192,TF-miRNA
RELA,hsa-mir-193b,TF-miRNA
RELA,hsa-mir-19a,TF-miRNA
RELA,hsa-mir-19b-1,TF-miRNA
RELA,hsa-mir-200b,TF-miRNA
RELA,hsa-mir-205,TF-miRNA
RELA,hsa-mir-20a,TF-miRNA
RELA,hsa-mir-21,TF-miRNA
RELA,hsa-mir-21,TF-miRNA
RELA,hsa-mir-21,TF-miRNA
RELA,hsa-mir-21,TF-miRNA
RELA,hsa-mir-212,TF-miRNA
RELA,hsa-mir-22,TF-miRNA
RELA,hsa-mir-221,TF-miRNA
RELA,hsa-mir-222,TF-miRNA
RELA,hsa-mir-223,TF-miRNA
RELA,hsa-mir-224,TF-miRNA
RELA,hsa-mir-224,TF-miRNA
RELA,hsa-mir-224,TF-miRNA
RELA,hsa-mir-23a,TF-miRNA
RELA,hsa-mir-23b,TF-miRNA
RELA,hsa-mir-23b,TF-miRNA
RELA,hsa-mir-24-1,TF-miRNA
RELA,hsa-mir-24-1,TF-miRNA
RELA,hsa-mir-24-2,TF-miRNA
RELA,hsa-mir-27a,TF-miRNA
RELA,hsa-mir-27b,TF-miRNA
RELA,hsa-mir-27b,TF-miRNA
RELA,hsa-mir-29c,TF-miRNA
RELA,hsa-mir-3074,TF-miRNA
RELA,hsa-mir-30b,TF-miRNA
RELA,hsa-mir-3151,TF-miRNA
RELA,hsa-mir-34a,TF-miRNA
RELA,hsa-mir-378a,TF-miRNA
RELA,hsa-mir-503,TF-miRNA
RELA,hsa-mir-7-1,TF-miRNA
RELA,hsa-mir-7-2,TF-miRNA
RELA,hsa-mir-7-3,TF-miRNA
RELA,hsa-mir-802,TF-miRNA
RELA,hsa-mir-92a-1,TF-miRNA
RELA,hsa-mir-96,TF-miRNA
RELA,hsa-mir-96,TF-miRNA
RELA,hsa-mir-99b,TF-miRNA
REST,hsa-mir-132,TF-miRNA
REST,hsa-mir-132,TF-miRNA
REST,hsa-mir-137,TF-miRNA
REST,hsa-mir-139,TF-miRNA
REST,hsa-mir-199a-1,TF-miRNA
REST,hsa-mir-199a-2,TF-miRNA
REST,hsa-mir-21,TF-miRNA
REST,hsa-mir-21,TF-miRNA
REST,hsa-mir-212,TF-miRNA
REST,hsa-mir-330,TF-miRNA
REST,hsa-mir-9-2,TF-miRNA
RREB1,hsa-mir-143,TF-miRNA
RREB1,hsa-mir-143,TF-miRNA
RREB1,hsa-mir-145,TF-miRNA
RREB1,hsa-mir-145,TF-miRNA
RREB1,hsa-mir-145,TF-miRNA
RUNX1,hsa-mir-106a,TF-miRNA
RUNX1,hsa-mir-144,TF-miRNA
RUNX1,hsa-mir-17,TF-miRNA
RUNX1,hsa-mir-181c,TF-miRNA
RUNX1,hsa-mir-181d,TF-miRNA
RUNX1,hsa-mir-18a,TF-miRNA
RUNX1,hsa-mir-18b,TF-miRNA
RUNX1,hsa-mir-19a,TF-miRNA
RUNX1,hsa-mir-19b-1,TF-miRNA
RUNX1,hsa-mir-19b-2,TF-miRNA
RUNX1,hsa-mir-20a,TF-miRNA
RUNX1,hsa-mir-20b,TF-miRNA
RUNX1,hsa-mir-221,TF-miRNA
RUNX1,hsa-mir-223,TF-miRNA
RUNX1,hsa-mir-223,TF-miRNA
RUNX1,hsa-mir-23a,TF-miRNA
RUNX1,hsa-mir-24-2,TF-miRNA
RUNX1,hsa-mir-27a,TF-miRNA
RUNX1,hsa-mir-27a,TF-miRNA
RUNX1,hsa-mir-27a,TF-miRNA
RUNX1,hsa-mir-363,TF-miRNA
RUNX1,hsa-mir-484,TF-miRNA
RUNX1,hsa-mir-92a-1,TF-miRNA
RUNX1,hsa-mir-92a-2,TF-miRNA
RUNX2,hsa-mir-21,TF-miRNA
RUNX2,hsa-mir-23a,TF-miRNA
RUNX2,hsa-mir-24-2,TF-miRNA
RUNX2,hsa-mir-27a,TF-miRNA
RUNX2,hsa-mir-2861,TF-miRNA
RUNX2,hsa-mir-2861,TF-miRNA
RUNX2,hsa-mir-31,TF-miRNA
RUNX2,hsa-mir-3960,TF-miRNA
RUNX2,hsa-mir-3960,TF-miRNA
SOX10,hsa-mir-335,TF-miRNA
SOX10,hsa-mir-338,TF-miRNA
SOX10,hsa-mir-338,TF-miRNA
SOX9,hsa-mir-140,TF-miRNA
SOX9,hsa-mir-140,TF-miRNA
SOX9,hsa-mir-29a,TF-miRNA
SOX9,hsa-mir-574,TF-miRNA
SOX9,hsa-mir-675,TF-miRNA
SP1,hsa-mir-106a,TF-miRNA
SP1,hsa-mir-130a,TF-miRNA
SP1,hsa-mir-132,TF-miRNA
SP1,hsa-mir-141,TF-miRNA
SP1,hsa-mir-141,TF-miRNA
SP1,hsa-mir-142,TF-miRNA
SP1,hsa-mir-146b,TF-miRNA
SP1,hsa-mir-17,TF-miRNA
SP1,hsa-mir-182,TF-miRNA
SP1,hsa-mir-18a,TF-miRNA
